Train No,Name,Type,Zone,Date From,Date To,From,Dep,To,Arr,Duration,Halts,SU,M,TU,W,TH,F,SA,Class,Distance,Speed,Return
13509,Asansol-Gonda Expres...,Exp,ER,,,ASN,16:15,GD,13:00,20h 45m,20,,,T,,,,,SL 3A,861 km,41 km/hr,13510
13510,Gonda-Asansol Expres...,Exp,ER,,,GD,15:00,ASN,11:15,20h 15m,20,,,,W,,,,SL 3A,861 km,42 km/hr,13509
13511,TataNagar-Asansol Ex...,Exp,ER,,,TATA,13:00,ASN,16:30,3h 30m,7,,,T,W,,F,,2S CC,165 km,47 km/hr,13512
13512,Asansol - TataNagar ...,Exp,ER,,,ASN,09:05,TATA,12:25,3h 20m,7,,,T,W,,F,,2S,165 km,49 km/hr,13511
14001,Samjhauta Express,Exp,NR,,,DLI,23:05,ATT,07:15,8h 10m,0,S,,,W,,,,SL 3A,472 km,57 km/hr,14002
14002,Samjhauta Express,Exp,NR,,,ATT,20:00,DLI,03:20,7h 20m,0,,M,,,T,,,SL 3A,472 km,64 km/hr,14001
14003,Malda Town - New Del...,Exp,NR,,,MLDT,09:05,NDLS,14:40,29h 35m,20,,,T,,,,S,SL 3A 2A,1426 km,48 km/hr,14004
14004,New Delhi - Malda To...,Exp,NR,,,NDLS,17:55,MLDT,23:50,29h 55m,20,S,,,,T,,,SL 3A 2A,1426 km,47 km/hr,14003
14005,Lichchavi Express,Exp,NR,,,SMI,02:35,ANVT,04:35,26h 0m,39,S,M,T,W,T,F,S,SL 3A 2A,1195 km,45 km/hr,14006
14006,Lichchavi Express (P...,Exp,NR,,,ANVT,15:10,SMI,20:45,29h 35m,39,S,M,T,W,T,F,S,SL 3A 2A,1195 km,40 km/hr,14005
14007,Sadbhavna Express,Exp,NR,,,RXL,23:55,DLI,04:50,28h 55m,31,,,,W,,F,,SL 3A,1253 km,43 km/hr,14008
14008,Sadbhavana Express,Exp,NR,,,DLI,16:15,RXL,22:15,30h 0m,31,,,T,,T,,,SL 3A,1253 km,41 km/hr,14007
14011,Delhi - Hoshiarpur E...,Exp,NR,,,DLI,21:00,HSX,05:15,8h 15m,5,S,M,T,W,T,F,S,SL 3A 2A,402 km,48 km/hr,14012
14012,Hoshiarpur - Delhi E...,Exp,NR,,,HSX,22:30,DLI,07:10,8h 40m,5,S,M,T,W,T,F,S,SL 3A 2A,402 km,46 km/hr,14011
14013,Sadbhavana Express,Exp,NR,,,SLN,15:30,DLI,04:50,13h 20m,13,S,,T,,,,,SL 3A 2A,644 km,48 km/hr,14014
14014,Sadbhavana Express,Exp,NR,,,DLI,16:15,SLN,06:10,13h 55m,13,,M,,,,,S,SL 3A 2A,644 km,46 km/hr,14013
14015,Sadbhavna Express,Exp,NR,,,RXL,00:20,DLI,04:50,28h 30m,33,,M,,W,,,,SL 3A,1236 km,43 km/hr,14016
14016,Sadbhavana Express,Exp,NR,,,DLI,16:15,RXL,21:30,29h 15m,33,S,,,,,F,,SL 3A,1236 km,42 km/hr,14015
14017,Sadbhavna Express,Exp,NR,,,RXL,23:55,DLI,04:50,28h 55m,34,,,,,T,,,SL 3A 2A,1294 km,44 km/hr,14018
14018,Sadbhavana Express,Exp,NR,,,DLI,16:15,RXL,22:15,30h 0m,34,,,,W,,,,SL 3A 2A,1294 km,43 km/hr,14017
14033,Jammu Mail,Exp,NR,,,DLI,20:10,SVDK,11:50,15h 40m,32,S,M,T,W,T,F,S,SL 3A 2A 1A,661 km,42 km/hr,14034
14034,Jammu Mail,Exp,NR,,,SVDK,14:20,DLI,05:45,15h 25m,29,S,M,T,W,T,F,S,SL 3A 2A 1A,661 km,42 km/hr,14033
